title_id,title_name,title_year
tt8178634,RRR,(2020)
tt6747420,Rajma Chawal,(2018)
tt9052936,Blank,(2019)
tt2168910,Cocktail,(2012)
tt4399594,Fitoor,(2016)
tt3322420,Queen,(2013)
tt8869978,Batla House,(2019)
tt0871510,Chak de! India,(2007)
tt3859980,Mohenjo Daro,(2016)
tt3447364,Detective Byomkesh Bakshy!,(2015)
tt2176013,Jab Tak Hai Jaan,(2012)
tt8108274,Taanaji: The Unsung Warrior,(2019)
tt6711660,Babumoshai Bandookbaaz,(2017)
tt8176040,Panipat,(2019)
tt9052870,Chhichhore,(2019)
tt7638344,Dhadak,(2018)
tt5686868,Miss Teacher,(2016)
tt8108196,Mental Hai Kya,(2019)
tt6277440,Badrinath Ki Dulhania,(2017)
tt7329858,Pari,(I) (2018)
tt7059844,Dabangg 3,(2019)
tt1620933,Paan Singh Tomar,(2012)
tt3224288,Beyond the Clouds,(2017)
tt9239772,Setters,(2019)
tt7919680,Karwaan,(2018)
tt7471004,The House Next Door,(2017)
tt5050788,Loev,(2015)
tt3001638,Mary Kom,(2014)
tt2302416,In the Shadows,(2017)
tt5474042,Half Girlfriend,(2017)
tt9648672,Street Dancer 3D,(2019)
tt2112124,Chennai Express,(2013)
tt4907960,Hera Pheri 3,
tt7399470,Qarib Qarib Singlle,(2017)
tt2527238,Kamasutra 3D,
tt1562871,Ra.One,(2011)
tt3044882,Nasha,(2013)
tt5745450,Chef,(2017)
tt1773764,Ship of Theseus,(2012)
tt7618184,Mulk,(I) (2018)
tt1934231,Delhi Belly,(2011)
tt7485048,Super 30,(2019)
tt7275232,Welcome to New York,(2018)
tt6972140,Blackmail,(I) (2018)
tt1285241,Don 2,(2011)
tt7407288,Operation Khukri,(2019)
tt3410408,Rocky Handsome,(2016)
tt7886848,Sadak 2,(2020)
tt9052946,Inshallah,(2020)
tt2461132,Happy New Year,(I) (2014)
tt5785170,Toilet - Ek Prem Katha,(2017)
tt1182937,Rab Ne Bana Di Jodi,(2008)
tt1890363,Buddha in a Traffic Jam,(2016)
tt6836936,Saaho,(2019)
tt5325684,Hate Story IV,(2018)
tt0422091,Dhoom,(2004)
tt0213890,Mohabbatein,(2000)
tt2224317,Lootera,(I) (2013)
tt8006172,Tiger 3: Untitled Tiger Zinda Hai Sequel,
tt8907986,Angrezi Medium,(2020)
tt8011276,Laila Majnu,(2018)
tt3742284,NH10,(2015)
tt7430722,Untitled Hrithik/Tiger Project,(2019)
tt3495026,Fan,(I) (2016)
tt3004774,Tigers,(2014)
tt2408040,B.A. Pass,(2012)
tt6588966,Hichki,(2018)
tt10118064,377 AbNormal,(2019)
tt5997666,Jab Harry Met Sejal,(2017)
