title_id,title_name,title_year
tt0278212,Kyunki... Saas Bhi Kabhi Bahu Thi...,(2000–2008)
tt6890994,Kaala Teeka,(2015–2017)
tt10055910,Sex Drugs & Theatre,(2019– )
tt6979286,Maharakshak Aryan,(2014–2015)
tt9649436,Enaaya,(2019– )
tt0397120,Aaryaman Brahmand Ka Yoddha,(2002– )
tt7880766,Jijaji Chhat Par Hai,(2018– )
tt7357672,What the Folks,(2017– )
tt7651452,Bahu Hamari Rajni Kant,(2016–2017)
tt2764752,Saraswatichandra,(2013– )
tt4570984,Akbar Birbal,(2014– )
tt3433480,Buddha: Rajaon ka Raja,(2013– )
tt0250875,Kaun Banega Crorepati?,(2000– )
tt9031094,SideHero,(2018– )
tt9203736,Tantra,(2018– )
tt7189506,CLASS of 2017,(2017– )
tt9025262,Aafat,(2019– )
tt5830106,Life Sahi Hai,(2016– )
tt4643420,Om Nom Stories,(2011– )
tt9179242,Ashish Chanchlani Vines,(2016– )
tt10118590,The Insiders,(2019– )
tt7345926,CYBERSQUAD,(2017– )
tt2445744,Dekh Bhai Dekh,(1993– )
tt9760930,Bhakhawadi,(2019– )
tt9135686,Paramavatar Shri Krishna,(2017– )
tt1949650,Best of Luck Nikki,(2011– )
tt2787558,Ninja Hattori,(1981–1987)
tt0389586,Buniyaad,(1987–1988)
tt9737288,The Red Land,(2019– )
tt8439410,Shakuntala,(2009)
tt0389673,Ramayan,(2002– )
tt8254592,Chacha Vidhayak Hain Hamare,(2018– )
tt2317751,Indian Premier League,(2008– )
tt2429834,Kuch Toh Log Kahenge,(2011– )
tt7112704,Yeh Rishta Kya Kehlata Hai,(2009– )
tt5249430,Dharti Ka Veer Yodha Prithviraj Chauhan,(2006–2009)
tt1486317,Kavyanjali,(2005–2006)
tt2263530,Left Right Left,(2006–2008)
tt1863997,Saath Nibhana Saathiya,(2010– )
tt2016058,Sssshh... Phir Koi Hai,(2006–2009)
tt5919848,Dil Se Di Dua... Saubhagyavati Bhava?,(2011–2013)
tt9549012,Parchhayee: Ghost Stories by Ruskin Bond,(2019– )
tt6792644,Agent raghav,(2015–2016)
tt6803712,Dharmakshetra,(2014–2015)
tt7222902,Dev,(2017– )
tt0294139,Luv Kush,(1988– )
tt8207654,It Happened In Hong Kong,(2018)
tt8240188,Vighnaharta Ganesha,(2017– )
tt4625362,Oye Jassie,(2013– )
tt0389593,Chanakya,(1990– )
tt8417536,Khan: No. 1 Crime Hunter,(2018– )
tt8682658,Memories,(2018)
tt0307837,Swabhimaan,(1995– )
tt9637002,Band Baja Bandh Darwaza,(2019– )
tt8774964,Ye Teri Galliyan,(2018– )
tt7947414,Rang Badalti Odhani,(2010–2011)
tt5745872,A.I.SHA: My Virtual Girlfriend,(2016– )
tt1392552,Dance India Dance,(2009– )
tt8983290,Meri Hanikarak Biwi,(2017– )
tt1727829,Khichdi,(2002– )
tt8175958,Yeh Pyaar Nahi Toh Kya Hai,(2018– )
tt8374588,Badi Door Se Aaye Hain,(2014–2016)
tt3402548,Comedy Nights with Kapil,(2013–2016)
tt9829142,Pyaar ke papad,(2019– )
tt0069576,Doraemon,(1979–2005)
tt2452062,Jai Hanuman,(1997–2000)
tt3216182,Bharat Ka Veer Putra - Maharana Pratap,(2013– )
tt7456390,Haq Se,(2018– )
tt9537378,The Investigation,(II) (2019– )
tt8163874,Kullfi Kumarr Bajewala,(2018– )
tt7454708,Naaginn: Waadon Ki Agniparikshaa,(2007–2009)
tt0390792,Vikram Aur Betaal,(1988– )
tt8569202,Roop - Mard Ka Naya Swaroop,(2018– )
tt8561222,The Adventures of Hatim,(2013–2014)
tt8937498,Savdhaan India - Naya Adhdhay,(2018– )
tt7151570,Bewafaa Sii Wafaa,(2017– )
tt5653500,Beintehaa,(2013–2014)
tt5864184,Lapataganj,(2009–2014)
tt9603564,My Name Ijj Lakhan,(2019– )
tt3685866,Aur Pyar Ho Gaya,(2014– )
tt8230598,Ramayan,(2008–2009)
